source_id,input_row,original_input,entity_text,entity_type,uncertain,evidence,notes
source-001,2,論章太炎與孫中山革命思想的異趣,章太炎,personal_name,false,章太炎,
source-001,2,論章太炎與孫中山革命思想的異趣,孫中山,personal_name,false,孫中山,
source-001,4,章太炎與孫中山因反滿革命而結合，但因出身與思想背景之異，雖是革命同道，終因思想上的差異，爭執與齟齬不斷，甚至導致革命陣營的分裂。兩人固然有性格上的差異，孫有元首特質，不甘居人後，故高度自信，難入逆耳之言，而易輕信諂媚。而章倡議革命，別有淵源，且以國師自居，喜直言無忌，不願屈己相從。個性之外，更有深層的思想上的差異。章、孫都是民族主義者，皆以推翻滿清政權為職志，然而兩公的民族主義內涵不盡相同。中山深受西方文化的影響，對歐美民主國家仰慕多，而對列強之帝國主義警覺少，甚至不惜借列強之助力，應對國內的政敵。而太炎之排滿，要因清政府不能應付列強之帝國主義侵略而起，故八國聯軍之後，始毅然投身革命。他也深感西潮對中國社會與政治上的威脅，所以反對西方帝國主義才是章太炎民族主義的核心價值。他早年與亞洲其他反帝志士來往，晚年極力反對赤化。但孫於清季革命時期未嘗參與其他亞洲弱小民族的反帝活動，晚年聯俄容共，欲借外力，求中國之統一。,章太炎,personal_name,false,章太炎與孫中山因反滿革命而結合,亦被簡稱為「章」和「太炎」。
source-001,4,章太炎與孫中山因反滿革命而結合，但因出身與思想背景之異，雖是革命同道，終因思想上的差異，爭執與齟齬不斷，甚至導致革命陣營的分裂。兩人固然有性格上的差異，孫有元首特質，不甘居人後，故高度自信，難入逆耳之言，而易輕信諂媚。而章倡議革命，別有淵源，且以國師自居，喜直言無忌，不願屈己相從。個性之外，更有深層的思想上的差異。章、孫都是民族主義者，皆以推翻滿清政權為職志，然而兩公的民族主義內涵不盡相同。中山深受西方文化的影響，對歐美民主國家仰慕多，而對列強之帝國主義警覺少，甚至不惜借列強之助力，應對國內的政敵。而太炎之排滿，要因清政府不能應付列強之帝國主義侵略而起，故八國聯軍之後，始毅然投身革命。他也深感西潮對中國社會與政治上的威脅，所以反對西方帝國主義才是章太炎民族主義的核心價值。他早年與亞洲其他反帝志士來往，晚年極力反對赤化。但孫於清季革命時期未嘗參與其他亞洲弱小民族的反帝活動，晚年聯俄容共，欲借外力，求中國之統一。,孫中山,personal_name,false,章太炎與孫中山因反滿革命而結合,亦被簡稱為「孫」和「中山」。
source-001,4,章太炎與孫中山因反滿革命而結合，但因出身與思想背景之異，雖是革命同道，終因思想上的差異，爭執與齟齬不斷，甚至導致革命陣營的分裂。兩人固然有性格上的差異，孫有元首特質，不甘居人後，故高度自信，難入逆耳之言，而易輕信諂媚。而章倡議革命，別有淵源，且以國師自居，喜直言無忌，不願屈己相從。個性之外，更有深層的思想上的差異。章、孫都是民族主義者，皆以推翻滿清政權為職志，然而兩公的民族主義內涵不盡相同。中山深受西方文化的影響，對歐美民主國家仰慕多，而對列強之帝國主義警覺少，甚至不惜借列強之助力，應對國內的政敵。而太炎之排滿，要因清政府不能應付列強之帝國主義侵略而起，故八國聯軍之後，始毅然投身革命。他也深感西潮對中國社會與政治上的威脅，所以反對西方帝國主義才是章太炎民族主義的核心價值。他早年與亞洲其他反帝志士來往，晚年極力反對赤化。但孫於清季革命時期未嘗參與其他亞洲弱小民族的反帝活動，晚年聯俄容共，欲借外力，求中國之統一。,國師,official_title,false,且以國師自居,章太炎自居的頭銜。
source-001,4,章太炎與孫中山因反滿革命而結合，但因出身與思想背景之異，雖是革命同道，終因思想上的差異，爭執與齟齬不斷，甚至導致革命陣營的分裂。兩人固然有性格上的差異，孫有元首特質，不甘居人後，故高度自信，難入逆耳之言，而易輕信諂媚。而章倡議革命，別有淵源，且以國師自居，喜直言無忌，不願屈己相從。個性之外，更有深層的思想上的差異。章、孫都是民族主義者，皆以推翻滿清政權為職志，然而兩公的民族主義內涵不盡相同。中山深受西方文化的影響，對歐美民主國家仰慕多，而對列強之帝國主義警覺少，甚至不惜借列強之助力，應對國內的政敵。而太炎之排滿，要因清政府不能應付列強之帝國主義侵略而起，故八國聯軍之後，始毅然投身革命。他也深感西潮對中國社會與政治上的威脅，所以反對西方帝國主義才是章太炎民族主義的核心價值。他早年與亞洲其他反帝志士來往，晚年極力反對赤化。但孫於清季革命時期未嘗參與其他亞洲弱小民族的反帝活動，晚年聯俄容共，欲借外力，求中國之統一。,歐美,place_name,false,對歐美民主國家仰慕多,
source-001,4,章太炎與孫中山因反滿革命而結合，但因出身與思想背景之異，雖是革命同道，終因思想上的差異，爭執與齟齬不斷，甚至導致革命陣營的分裂。兩人固然有性格上的差異，孫有元首特質，不甘居人後，故高度自信，難入逆耳之言，而易輕信諂媚。而章倡議革命，別有淵源，且以國師自居，喜直言無忌，不願屈己相從。個性之外，更有深層的思想上的差異。章、孫都是民族主義者，皆以推翻滿清政權為職志，然而兩公的民族主義內涵不盡相同。中山深受西方文化的影響，對歐美民主國家仰慕多，而對列強之帝國主義警覺少，甚至不惜借列強之助力，應對國內的政敵。而太炎之排滿，要因清政府不能應付列強之帝國主義侵略而起，故八國聯軍之後，始毅然投身革命。他也深感西潮對中國社會與政治上的威脅，所以反對西方帝國主義才是章太炎民族主義的核心價值。他早年與亞洲其他反帝志士來往，晚年極力反對赤化。但孫於清季革命時期未嘗參與其他亞洲弱小民族的反帝活動，晚年聯俄容共，欲借外力，求中國之統一。,中國,place_name,false,西潮對中國社會與政治上的威脅,
source-001,4,章太炎與孫中山因反滿革命而結合，但因出身與思想背景之異，雖是革命同道，終因思想上的差異，爭執與齟齬不斷，甚至導致革命陣營的分裂。兩人固然有性格上的差異，孫有元首特質，不甘居人後，故高度自信，難入逆耳之言，而易輕信諂媚。而章倡議革命，別有淵源，且以國師自居，喜直言無忌，不願屈己相從。個性之外，更有深層的思想上的差異。章、孫都是民族主義者，皆以推翻滿清政權為職志，然而兩公的民族主義內涵不盡相同。中山深受西方文化的影響，對歐美民主國家仰慕多，而對列強之帝國主義警覺少，甚至不惜借列強之助力，應對國內的政敵。而太炎之排滿，要因清政府不能應付列強之帝國主義侵略而起，故八國聯軍之後，始毅然投身革命。他也深感西潮對中國社會與政治上的威脅，所以反對西方帝國主義才是章太炎民族主義的核心價值。他早年與亞洲其他反帝志士來往，晚年極力反對赤化。但孫於清季革命時期未嘗參與其他亞洲弱小民族的反帝活動，晚年聯俄容共，欲借外力，求中國之統一。,亞洲,place_name,false,早年與亞洲其他反帝志士來往,
source-001,5,關鍵詞：章太炎、孫中山、革命思想、國族主義、帝國主義,章太炎,personal_name,false,章太炎,
source-001,5,關鍵詞：章太炎、孫中山、革命思想、國族主義、帝國主義,孫中山,personal_name,false,孫中山,
